road,peak_cars_in_sample,length_m,peak_cars_per_100m
Library Rd & P1 to Library Rd & University Dr,59,204.28,28.882
Library Rd & P1 to Campus Ave & Library Rd,0,699.85,0.0
Library Rd & University Dr to Library Rd & P1,0,204.28,0.0
Campus Ave & Library Rd to Library Rd & P1,0,699.85,0.0
Campus Ave & Library Rd to Campus Ave & P2,0,179.53,0.0
Campus Ave & P2 to Campus Ave & University Dr,0,166.12,0.0
Campus Ave & University Dr to Library Rd & University Dr,81,516.86,15.671
Library Rd & University Dr to Campus Ave & University Dr,0,516.86,0.0
Campus Ave & University Dr to Raven Rd & University Dr,0,310.06,0.0
Raven Rd & University Dr to Campus Ave & University Dr,0,310.06,0.0
Raven Rd & University Dr to P3 & Raven Rd,72,185.44,38.827
P3 & Raven Rd to Raven Rd & University Dr,0,185.44,0.0
P3 & Raven Rd to Bronson Ave & Raven Rd,0,132.91,0.0
Library Rd & University Dr to Colonel By Dr & University Dr,20,34.36,58.21
Raven Rd & University Dr to P4 & University Dr,52,202.6,25.666
P4 & University Dr to Raven Rd & University Dr,0,202.6,0.0
P4 & University Dr to Stadium Way & University Dr,38,218.69,17.376
Stadium Way & University Dr to P4 & University Dr,0,218.69,0.0
Stadium Way & University Dr to P5 & Stadium Way,9,58.64,15.348
P5 & Stadium Way to Stadium Way & University Dr,0,58.64,0.0
P5 & Stadium Way to Bronson Ave & Stadium Way,336,189.63,177.185
Stadium Way & University Dr to Roundabout,0,152.94,0.0
Roundabout to Stadium Way & University Dr,0,151.1,0.0
Roundabout to Bronson Ave & University Dr,60,141.29,42.465
Roundabout to Campus Ave & P6,84,92.22,91.083
Campus Ave & P6 to Roundabout,0,92.22,0.0
Campus Ave & P6 to Campus Ave & Library Rd,0,347.2,0.0
Raven Rd & University Dr to Bronson Ave & Raven Rd,0,285.0,0.0
