startTime,endTime,spawningIntervalInMinutes,spawningAmount,hasBike,hasCar,prefersBike,prefersCar,usesBikeAndsdRide,usesOwnBikeOutside,usesOwnCar,source,destination,discriminator
06:00,12:30,1,25,0.45,0.05,0.5,0.1,0.55,0.35,0.05,"POLYGON((10.000330868870066 53.54958150116664,10.000330868870066 53.55576970498851,10.015987934916536 53.555565757027985,10.016399147987052 53.54973090683871,10.000330868870066 53.54958150116664))","POLYGON((10.000330868870066 53.54958150116664,10.000330868870066 53.55576970498851,10.015987934916536 53.555565757027985,10.016399147987052 53.54973090683871,10.000330868870066 53.54958150116664))",2
07:00,12:30,2,10,0.45,0.05,0.5,0.1,0.55,0.35,0.05,"POLYGON((10.000330868870066 53.54958150116664,10.000330868870066 53.55576970498851,10.015987934916536 53.555565757027985,10.016399147987052 53.54973090683871,10.000330868870066 53.54958150116664))","POLYGON((10.000330868870066 53.54958150116664,10.000330868870066 53.55576970498851,10.015987934916536 53.555565757027985,10.016399147987052 53.54973090683871,10.000330868870066 53.54958150116664))",2
08:00,12:30,1,25,0.45,0.05,0.5,0.1,0.55,0.35,0.05,"POLYGON((10.000330868870066 53.54958150116664,10.000330868870066 53.55576970498851,10.015987934916536 53.555565757027985,10.016399147987052 53.54973090683871,10.000330868870066 53.54958150116664))","POLYGON((10.000330868870066 53.54958150116664,10.000330868870066 53.55576970498851,10.015987934916536 53.555565757027985,10.016399147987052 53.54973090683871,10.000330868870066 53.54958150116664))",3
12:00,12:30,1,5,0.45,0.05,0.5,0.1,0.55,0.35,0.05,"POLYGON((10.000330868870066 53.54958150116664,10.000330868870066 53.55576970498851,10.015987934916536 53.555565757027985,10.016399147987052 53.54973090683871,10.000330868870066 53.54958150116664))","POLYGON((10.000330868870066 53.54958150116664,10.000330868870066 53.55576970498851,10.015987934916536 53.555565757027985,10.016399147987052 53.54973090683871,10.000330868870066 53.54958150116664))",4
12:00,12:30,1,10,0.45,0.05,0.5,0.1,0.55,0.35,0.05,"POLYGON((10.000330868870066 53.54958150116664,10.000330868870066 53.55576970498851,10.015987934916536 53.555565757027985,10.016399147987052 53.54973090683871,10.000330868870066 53.54958150116664))","POLYGON((10.000330868870066 53.54958150116664,10.000330868870066 53.55576970498851,10.015987934916536 53.555565757027985,10.016399147987052 53.54973090683871,10.000330868870066 53.54958150116664))",1
9:00,12:30,6,5,0.45,0.05,0.5,0.1,0.55,0.35,0.05,"POLYGON((10.000330868870066 53.54958150116664,10.000330868870066 53.55576970498851,10.015987934916536 53.555565757027985,10.016399147987052 53.54973090683871,10.000330868870066 53.54958150116664))","POLYGON((10.000330868870066 53.54958150116664,10.000330868870066 53.55576970498851,10.015987934916536 53.555565757027985,10.016399147987052 53.54973090683871,10.000330868870066 53.54958150116664))",7
9:00,12:30,1,6,0.45,0.05,0.5,0.1,0.55,0.35,0.05,"POLYGON((10.000330868870066 53.54958150116664,10.000330868870066 53.55576970498851,10.015987934916536 53.555565757027985,10.016399147987052 53.54973090683871,10.000330868870066 53.54958150116664))","POLYGON((10.000330868870066 53.54958150116664,10.000330868870066 53.55576970498851,10.015987934916536 53.555565757027985,10.016399147987052 53.54973090683871,10.000330868870066 53.54958150116664))",6
6:00,12:30,1,6,0.45,0.05,0.5,0.1,0.55,0.35,0.05,"POLYGON((9.99999328569673 53.553503614447585,10.00625892595552 53.553503614447585,10.00625892595552 53.55094130957245,9.99999328569673 53.55094130957245,9.99999328569673 53.553503614447585))","POLYGON((9.99999328569673 53.553503614447585,10.00625892595552 53.553503614447585,10.00625892595552 53.55094130957245,9.99999328569673 53.55094130957245,9.99999328569673 53.553503614447585))",2
6:00,12:30,1,3,0.45,0.05,0.5,0.1,0.55,0.35,0.05,"POLYGON((9.99999328569673 53.553503614447585,10.00625892595552 53.553503614447585,10.00625892595552 53.55094130957245,9.99999328569673 53.55094130957245,9.99999328569673 53.553503614447585))","POLYGON((9.99999328569673 53.553503614447585,10.00625892595552 53.553503614447585,10.00625892595552 53.55094130957245,9.99999328569673 53.55094130957245,9.99999328569673 53.553503614447585))",3
6:00,12:30,1,1,0.45,0.05,0.5,0.1,0.55,0.35,0.05,"POLYGON((9.99999328569673 53.553503614447585,10.00625892595552 53.553503614447585,10.00625892595552 53.55094130957245,9.99999328569673 53.55094130957245,9.99999328569673 53.553503614447585))","POLYGON((9.99999328569673 53.553503614447585,10.00625892595552 53.553503614447585,10.00625892595552 53.55094130957245,9.99999328569673 53.55094130957245,9.99999328569673 53.553503614447585))",4
6:00,12:30,10,2,0.45,0.05,0.5,0.1,0.55,0.35,0.05,"POLYGON((9.99999328569673 53.553503614447585,10.00625892595552 53.553503614447585,10.00625892595552 53.55094130957245,9.99999328569673 53.55094130957245,9.99999328569673 53.553503614447585))","POLYGON((9.99999328569673 53.553503614447585,10.00625892595552 53.553503614447585,10.00625892595552 53.55094130957245,9.99999328569673 53.55094130957245,9.99999328569673 53.553503614447585))",7
