road,peak_cars_in_sample,length_m,peak_cars_per_100m
Library Rd & P1 to Library Rd & University Dr,67,204.28,32.798
Library Rd & P1 to Campus Ave & Library Rd,0,699.85,0.0
Library Rd & University Dr to Library Rd & P1,0,204.28,0.0
Campus Ave & Library Rd to Library Rd & P1,0,699.85,0.0
Campus Ave & Library Rd to Campus Ave & P2,0,179.53,0.0
Campus Ave & P2 to Campus Ave & University Dr,0,166.12,0.0
Campus Ave & University Dr to Library Rd & University Dr,78,516.86,15.091
Library Rd & University Dr to Campus Ave & University Dr,0,516.86,0.0
Campus Ave & University Dr to Raven Rd & University Dr,0,310.06,0.0
Raven Rd & University Dr to Campus Ave & University Dr,0,310.06,0.0
Raven Rd & University Dr to P3 & Raven Rd,88,185.44,47.456
P3 & Raven Rd to Raven Rd & University Dr,0,185.44,0.0
P3 & Raven Rd to Bronson Ave & Raven Rd,21,132.91,15.8
Library Rd & University Dr to Colonel By Dr & University Dr,22,34.36,64.031
Raven Rd & University Dr to P4 & University Dr,39,202.6,19.25
P4 & University Dr to Raven Rd & University Dr,0,202.6,0.0
P4 & University Dr to Stadium Way & University Dr,40,218.69,18.291
Stadium Way & University Dr to P4 & University Dr,0,218.69,0.0
Stadium Way & University Dr to P5 & Stadium Way,10,58.64,17.053
P5 & Stadium Way to Stadium Way & University Dr,0,58.64,0.0
P5 & Stadium Way to Bronson Ave & Stadium Way,290,189.63,152.928
Stadium Way & University Dr to Roundabout,29,152.94,18.961
Roundabout to Stadium Way & University Dr,0,151.1,0.0
Roundabout to Bronson Ave & University Dr,0,141.29,0.0
Roundabout to Campus Ave & P6,107,92.22,116.023
Campus Ave & P6 to Roundabout,0,92.22,0.0
Campus Ave & P6 to Campus Ave & Library Rd,0,347.2,0.0
Raven Rd & University Dr to Bronson Ave & Raven Rd,30,285.0,10.526
