TruckType,StartLat,StartLon,DestLat,DestLon,DriveMode
SmallTruck,48.84370544962368,9.195360602101495,48.571610407445306,9.422399364289376,3
SmallTruck,48.80294943528551,9.245803249413523,48.777766504072794,9.951289174408013,3
SmallTruck,48.77954719084358,9.173046825093559,48.5813675188864,8.984192199381315,3
SmallTruck,48.842806547461294,9.217222300244208,48.35543515674535,9.579030074664477,3
SmallTruck,48.72427341501619,9.155433202016832,48.96392520792559,8.945729174165969,3
SmallTruck,48.75440838734054,9.067171118663614,48.766148392742195,9.465951328948618,3



















